cuts,success
"(0,5]",0.9970149253731343
"(5,10]",0.9978425026968716
"(10,15]",0.9940758293838863
"(15,20]",0.9953429297205758
"(20,25]",0.9864268747879199
"(25,30]",0.9776179056754596
"(30,35]",0.9466484268125855
"(35,40]",0.9105367793240556
"(40,45]",0.8641102668315956
"(45,50]",0.8134927132798428
"(50,55]",0.7644943820224719
"(55,60]",0.7049272116461366
"(60,65]",0.6661784287616511
"(65,70]",0.5879844475103474
"(70,75]",0.5376813454872256
"(75,80]",0.4757386825698021
"(80,85]",0.404163052905464
"(85,90]",0.3592539908329382
"(90,95]",0.2870147715561663
"(95,100]",0.26761852462017205
"(100,105]",0.2427223449106605
"(105,110]",0.2177927927927928
"(110,115]",0.22345647119607337
"(115,120]",0.21874101753377406
"(120,125]",0.24168666438121358
"(125,130]",0.24771024146544546
"(130,135]",0.2740308019118428
"(135,140]",0.28263988522238165
"(140,145]",0.27200791295746785
"(145,150]",0.2465753424657534
"(150,155]",0.23201856148491878
"(155,160]",0.20522388059701493
"(160,165]",0.11464968152866242
"(165,170]",0.14705882352941177
"(170,175]",0.047619047619047616
NA,0
